REP,Treatment,Application,Stage,Crop,Soybean,RateUS,Dilution,RateM,DW,BR
1,19,1,2nd Trifoliate,4,Conventional,0,0,0,22.5,-7.015457788
3,19,1,2nd Trifoliate,4,Conventional,0,0,0,19,9.631391201
2,19,1,2nd Trifoliate,4,Conventional,0,0,0,20.6,2.021403092
4,19,1,2nd Trifoliate,4,Conventional,0,0,0,22,-4.637336504
3,24,1,2nd Trifoliate,4,Conventional,0.01067,1/1500,0.37345,19.7,6.302021403
1,24,1,2nd Trifoliate,4,Conventional,0.01067,1/1500,0.37345,18.4,12.48513674
2,24,1,2nd Trifoliate,4,Conventional,0.01067,1/1500,0.37345,18,14.38763377
4,24,1,2nd Trifoliate,4,Conventional,0.01067,1/1500,0.37345,14.7,30.08323424
3,23,1,2nd Trifoliate,4,Conventional,0.016,1/1000,0.56,22.9,-8.917954816
2,23,1,2nd Trifoliate,4,Conventional,0.016,1/1000,0.56,21,0.118906064
1,23,1,2nd Trifoliate,4,Conventional,0.016,1/1000,0.56,14.7,30.08323424
4,23,1,2nd Trifoliate,4,Conventional,0.016,1/1000,0.56,21.3,-1.307966706
3,22,1,2nd Trifoliate,4,Conventional,0.032,1/500,1.12,19.4,7.728894174
1,22,1,2nd Trifoliate,4,Conventional,0.032,1/500,1.12,19.7,6.302021403
2,22,1,2nd Trifoliate,4,Conventional,0.032,1/500,1.12,19,9.631391201
4,22,1,2nd Trifoliate,4,Conventional,0.032,1/500,1.12,21.8,-3.68608799
3,21,1,2nd Trifoliate,4,Conventional,0.16,1/100,5.6,14,33.41260404
2,21,1,2nd Trifoliate,4,Conventional,0.16,1/100,5.6,17.3,17.71700357
1,21,1,2nd Trifoliate,4,Conventional,0.16,1/100,5.6,11.6,44.82758621
4,21,1,2nd Trifoliate,4,Conventional,0.16,1/100,5.6,16.8,20.09512485
1,20,1,2nd Trifoliate,4,Conventional,1.6,10-Jan,56,3.9,81.45065398
3,20,1,2nd Trifoliate,4,Conventional,1.6,10-Jan,56,9.6,54.34007134
2,20,1,2nd Trifoliate,4,Conventional,1.6,10-Jan,56,10.2,51.4863258
4,20,1,2nd Trifoliate,4,Conventional,1.6,10-Jan,56,9.3,55.76694411
2,13,1,2nd Trifoliate,3,Glufosinate,0,0,0,16.5,15.49295775
3,13,1,2nd Trifoliate,3,Glufosinate,0,0,0,23,-17.79769526
4,13,1,2nd Trifoliate,3,Glufosinate,0,0,0,21,-7.554417414
1,13,1,2nd Trifoliate,3,Glufosinate,0,0,0,17.6,9.85915493
2,18,1,2nd Trifoliate,3,Glufosinate,0.01067,1/1500,0.37345,14.8,24.19974392
3,18,1,2nd Trifoliate,3,Glufosinate,0.01067,1/1500,0.37345,21.6,-10.62740077
4,18,1,2nd Trifoliate,3,Glufosinate,0.01067,1/1500,0.37345,17.3,11.39564661
1,18,1,2nd Trifoliate,3,Glufosinate,0.01067,1/1500,0.37345,23.3,-19.33418694
2,17,1,2nd Trifoliate,3,Glufosinate,0.016,1/1000,0.56,24.5,-25.48015365
3,17,1,2nd Trifoliate,3,Glufosinate,0.016,1/1000,0.56,19.2,1.66453265
4,17,1,2nd Trifoliate,3,Glufosinate,0.016,1/1000,0.56,13.4,31.37003841
1,17,1,2nd Trifoliate,3,Glufosinate,0.016,1/1000,0.56,14.1,27.78489117
2,16,1,2nd Trifoliate,3,Glufosinate,0.032,1/500,1.12,33.4,-71.06274008
3,16,1,2nd Trifoliate,3,Glufosinate,0.032,1/500,1.12,23.4,-19.84635083
4,16,1,2nd Trifoliate,3,Glufosinate,0.032,1/500,1.12,13.3,31.8822023
1,16,1,2nd Trifoliate,3,Glufosinate,0.032,1/500,1.12,17.4,10.88348271
3,15,1,2nd Trifoliate,3,Glufosinate,0.16,1/100,5.6,17.9,8.322663252
2,15,1,2nd Trifoliate,3,Glufosinate,0.16,1/100,5.6,16,18.05377721
4,15,1,2nd Trifoliate,3,Glufosinate,0.16,1/100,5.6,13.8,29.32138284
1,15,1,2nd Trifoliate,3,Glufosinate,0.16,1/100,5.6,9.9,49.29577465
3,14,1,2nd Trifoliate,3,Glufosinate,1.6,10-Jan,56,7.5,61.58770807
2,14,1,2nd Trifoliate,3,Glufosinate,1.6,10-Jan,56,9.6,50.83226633
4,14,1,2nd Trifoliate,3,Glufosinate,1.6,10-Jan,56,5.9,69.78233035
1,14,1,2nd Trifoliate,3,Glufosinate,1.6,10-Jan,56,8.1,58.51472471
3,7,1,2nd Trifoliate,2,Glyphosate,0,0,0,12.1,29.34306569
1,7,1,2nd Trifoliate,2,Glyphosate,0,0,0,17.4,-1.605839416
2,7,1,2nd Trifoliate,2,Glyphosate,0,0,0,19.7,-15.03649635
4,7,1,2nd Trifoliate,2,Glyphosate,0,0,0,19.5,-13.86861314
3,12,1,2nd Trifoliate,2,Glyphosate,0.01067,1/1500,0.37345,14.2,17.08029197
1,12,1,2nd Trifoliate,2,Glyphosate,0.01067,1/1500,0.37345,14.3,16.49635036
2,12,1,2nd Trifoliate,2,Glyphosate,0.01067,1/1500,0.37345,14,18.24817518
4,12,1,2nd Trifoliate,2,Glyphosate,0.01067,1/1500,0.37345,21.8,-27.29927007
3,11,1,2nd Trifoliate,2,Glyphosate,0.016,1/1000,0.56,19.3,-12.70072993
1,11,1,2nd Trifoliate,2,Glyphosate,0.016,1/1000,0.56,15.8,7.737226277
2,11,1,2nd Trifoliate,2,Glyphosate,0.016,1/1000,0.56,14.8,13.57664234
4,11,1,2nd Trifoliate,2,Glyphosate,0.016,1/1000,0.56,15.9,7.153284672
3,10,1,2nd Trifoliate,2,Glyphosate,0.032,1/500,1.12,15.8,7.737226277
1,10,1,2nd Trifoliate,2,Glyphosate,0.032,1/500,1.12,17,0.729927007
2,10,1,2nd Trifoliate,2,Glyphosate,0.032,1/500,1.12,12.6,26.42335766
4,10,1,2nd Trifoliate,2,Glyphosate,0.032,1/500,1.12,18.1,-5.693430657
3,9,1,2nd Trifoliate,2,Glyphosate,0.16,1/100,5.6,14.1,17.66423358
1,9,1,2nd Trifoliate,2,Glyphosate,0.16,1/100,5.6,6.6,61.45985401
2,9,1,2nd Trifoliate,2,Glyphosate,0.16,1/100,5.6,15,12.40875912
4,9,1,2nd Trifoliate,2,Glyphosate,0.16,1/100,5.6,12.5,27.00729927
3,8,1,2nd Trifoliate,2,Glyphosate,1.6,10-Jan,56,12.1,29.34306569
1,8,1,2nd Trifoliate,2,Glyphosate,1.6,10-Jan,56,8.5,50.3649635
2,8,1,2nd Trifoliate,2,Glyphosate,1.6,10-Jan,56,4.6,73.13868613
4,8,1,2nd Trifoliate,2,Glyphosate,1.6,10-Jan,56,11.2,34.59854015
1,31,1,2nd Trifoliate,6,Grape,0,0,0,48.9,5.46157564
2,31,1,2nd Trifoliate,6,Grape,0,0,0,49,5.268245529
3,31,1,2nd Trifoliate,6,Grape,0,0,0,61.1,-18.12469792
4,31,1,2nd Trifoliate,6,Grape,0,0,0,47.9,7.394876752
1,36,1,2nd Trifoliate,6,Grape,0.01067,1/1500,0.37345,48.7,5.848235863
2,36,1,2nd Trifoliate,6,Grape,0.01067,1/1500,0.37345,60.5,-16.96471725
3,36,1,2nd Trifoliate,6,Grape,0.01067,1/1500,0.37345,45,13.00144998
4,36,1,2nd Trifoliate,6,Grape,0.01067,1/1500,0.37345,51.5,0.43499275
1,35,1,2nd Trifoliate,6,Grape,0.016,1/1000,0.56,53.6,-3.624939584
2,35,1,2nd Trifoliate,6,Grape,0.016,1/1000,0.56,35.7,30.98115031
3,35,1,2nd Trifoliate,6,Grape,0.016,1/1000,0.56,46.7,9.714838086
4,35,1,2nd Trifoliate,6,Grape,0.016,1/1000,0.56,37.5,27.50120831
1,34,1,2nd Trifoliate,6,Grape,0.032,1/500,1.12,53.8,-4.011599807
2,34,1,2nd Trifoliate,6,Grape,0.032,1/500,1.12,48.3,6.621556307
3,34,1,2nd Trifoliate,6,Grape,0.032,1/500,1.12,62.5,-20.83131948
4,34,1,2nd Trifoliate,6,Grape,0.032,1/500,1.12,46.2,10.68148864
1,33,1,2nd Trifoliate,6,Grape,0.16,1/100,5.6,46.9,9.328177864
2,33,1,2nd Trifoliate,6,Grape,0.16,1/100,5.6,43.3,16.28806187
3,33,1,2nd Trifoliate,6,Grape,0.16,1/100,5.6,34.9,32.5277912
4,33,1,2nd Trifoliate,6,Grape,0.16,1/100,5.6,54.6,-5.558240696
1,32,1,2nd Trifoliate,6,Grape,1.6,10-Jan,56,15.7,69.64717255
2,32,1,2nd Trifoliate,6,Grape,1.6,10-Jan,56,17.6,65.97390043
3,32,1,2nd Trifoliate,6,Grape,1.6,10-Jan,56,16.6,67.90720155
4,32,1,2nd Trifoliate,6,Grape,1.6,10-Jan,56,15.7,69.64717255
1,25,1,2nd Trifoliate,5,Organic,0,0,0,23.5,-2.620087336
3,25,1,2nd Trifoliate,5,Organic,0,0,0,23,-0.436681223
2,25,1,2nd Trifoliate,5,Organic,0,0,0,22.9,0
4,25,1,2nd Trifoliate,5,Organic,0,0,0,22.2,3.056768559
1,30,1,2nd Trifoliate,5,Organic,0.01067,1/1500,0.37345,28.7,-25.32751092
3,30,1,2nd Trifoliate,5,Organic,0.01067,1/1500,0.37345,17.2,24.89082969
2,30,1,2nd Trifoliate,5,Organic,0.01067,1/1500,0.37345,21,8.296943231
4,30,1,2nd Trifoliate,5,Organic,0.01067,1/1500,0.37345,14.3,37.55458515
1,29,1,2nd Trifoliate,5,Organic,0.016,1/1000,0.56,14.8,35.37117904
3,29,1,2nd Trifoliate,5,Organic,0.016,1/1000,0.56,17.2,24.89082969
2,29,1,2nd Trifoliate,5,Organic,0.016,1/1000,0.56,15.9,30.56768559
4,29,1,2nd Trifoliate,5,Organic,0.016,1/1000,0.56,20.9,8.733624454
1,28,1,2nd Trifoliate,5,Organic,0.032,1/500,1.12,16.2,29.25764192
3,28,1,2nd Trifoliate,5,Organic,0.032,1/500,1.12,13,43.23144105
2,28,1,2nd Trifoliate,5,Organic,0.032,1/500,1.12,16,30.13100437
4,28,1,2nd Trifoliate,5,Organic,0.032,1/500,1.12,13.5,41.04803493
1,27,1,2nd Trifoliate,5,Organic,0.16,1/100,5.6,12.3,46.28820961
3,27,1,2nd Trifoliate,5,Organic,0.16,1/100,5.6,10.3,55.02183406
2,27,1,2nd Trifoliate,5,Organic,0.16,1/100,5.6,13.9,39.30131004
4,27,1,2nd Trifoliate,5,Organic,0.16,1/100,5.6,9.2,59.82532751
1,26,1,2nd Trifoliate,5,Organic,1.6,10-Jan,56,4.9,78.60262009
3,26,1,2nd Trifoliate,5,Organic,1.6,10-Jan,56,7,69.43231441
2,26,1,2nd Trifoliate,5,Organic,1.6,10-Jan,56,4.9,78.60262009
4,26,1,2nd Trifoliate,5,Organic,1.6,10-Jan,56,4.6,79.91266376
2,37,1,2nd Trifoliate,7,Tomato,0,0,0,25.7,19.6875
1,37,1,2nd Trifoliate,7,Tomato,0,0,0,44.1,-37.8125
3,37,1,2nd Trifoliate,7,Tomato,0,0,0,27.5,14.0625
4,37,1,2nd Trifoliate,7,Tomato,0,0,0,30.7,4.0625
2,42,1,2nd Trifoliate,7,Tomato,0.01067,1/1500,0.37345,28.4,11.25
3,42,1,2nd Trifoliate,7,Tomato,0.01067,1/1500,0.37345,28.2,11.875
1,42,1,2nd Trifoliate,7,Tomato,0.01067,1/1500,0.37345,47.5,-48.4375
4,42,1,2nd Trifoliate,7,Tomato,0.01067,1/1500,0.37345,25.8,19.375
2,41,1,2nd Trifoliate,7,Tomato,0.016,1/1000,0.56,28.9,9.6875
3,41,1,2nd Trifoliate,7,Tomato,0.016,1/1000,0.56,25.3,20.9375
1,41,1,2nd Trifoliate,7,Tomato,0.016,1/1000,0.56,34.2,-6.875
4,41,1,2nd Trifoliate,7,Tomato,0.016,1/1000,0.56,31.8,0.625
2,40,1,2nd Trifoliate,7,Tomato,0.032,1/500,1.12,30,6.25
1,40,1,2nd Trifoliate,7,Tomato,0.032,1/500,1.12,29.2,8.75
3,40,1,2nd Trifoliate,7,Tomato,0.032,1/500,1.12,29.2,8.75
4,40,1,2nd Trifoliate,7,Tomato,0.032,1/500,1.12,28.6,10.625
2,39,1,2nd Trifoliate,7,Tomato,0.16,1/100,5.6,28.2,11.875
1,39,1,2nd Trifoliate,7,Tomato,0.16,1/100,5.6,34,-6.25
3,39,1,2nd Trifoliate,7,Tomato,0.16,1/100,5.6,27.6,13.75
4,39,1,2nd Trifoliate,7,Tomato,0.16,1/100,5.6,21.2,33.75
2,38,1,2nd Trifoliate,7,Tomato,1.6,10-Jan,56,19.1,40.3125
1,38,1,2nd Trifoliate,7,Tomato,1.6,10-Jan,56,19,40.625
3,38,1,2nd Trifoliate,7,Tomato,1.6,10-Jan,56,16.3,49.0625
4,38,1,2nd Trifoliate,7,Tomato,1.6,10-Jan,56,18.4,42.5
