REP,Treatment,Application,Stage,Crop,Soybean,Rate,RateUS,RateM,Dilution,PLOT,Height inch,Yield bu/A,YIELD,YL
1,19,1,Second,4,Conventional,1,0,0,0,119,44,80.24,5396.221393,-6.246482831
2,19,1,Second,4,Conventional,1,0,0,0,229,42,75.52,5078.796605,0.003310277
3,19,1,Second,4,Conventional,1,0,0,0,371,45,76.1,5117.802194,-0.764672775
4,19,1,Second,4,Conventional,1,0,0,0,465,44,70.23,4723.038739,7.007845349
1,24,1,Second,4,Conventional,6,0.01067,0.37345,1/1500,124,42,71.12,4782.892142,5.829388597
2,24,1,Second,4,Conventional,6,0.01067,0.37345,1/1500,230,44,69.57,4678.65307,7.881757097
3,24,1,Second,4,Conventional,6,0.01067,0.37345,1/1500,369,44,71.52,4809.792548,5.299745114
4,24,1,Second,4,Conventional,6,0.01067,0.37345,1/1500,461,42,72.06,4846.108096,4.584726411
1,23,1,Second,4,Conventional,5,0.016,0.56,1/1000,123,42,72.8,4895.873846,3.604885966
2,23,1,Second,4,Conventional,5,0.016,0.56,1/1000,225,42,71.83,4830.640362,4.889271414
3,23,1,Second,4,Conventional,5,0.016,0.56,1/1000,368,41,72.76,4893.183806,3.657850314
4,23,1,Second,4,Conventional,5,0.016,0.56,1/1000,464,44,66.65,4482.280108,11.74815453
1,22,1,Second,4,Conventional,4,0.032,1.12,1/500,122,40,67.69,4552.221163,10.37108147
2,22,1,Second,4,Conventional,4,0.032,1.12,1/500,228,42,68.63,4615.437116,9.126419283
3,22,1,Second,4,Conventional,4,0.032,1.12,1/500,367,43,71.07,4779.529591,5.895594033
4,22,1,Second,4,Conventional,4,0.032,1.12,1/500,466,40,65.88,4430.496827,12.76771823
1,21,1,Second,4,Conventional,3,0.16,5.6,1/100,121,32,59.56,4005.470416,21.13608528
2,21,1,Second,4,Conventional,3,0.16,5.6,1/100,226,32,69.27,4658.477765,8.278989709
3,21,1,Second,4,Conventional,3,0.16,5.6,1/100,370,32,67.17,4517.250635,11.059618
4,21,1,Second,4,Conventional,3,0.16,5.6,1/100,463,36,65.05,4374.678485,13.86672846
1,20,1,Second,4,Conventional,2,1.6,56,10-Jan,120,28,39.22,2637.584784,48.06845642
2,20,1,Second,4,Conventional,2,1.6,56,10-Jan,227,30,43.98,2957.699612,41.76569897
3,20,1,Second,4,Conventional,2,1.6,56,10-Jan,372,28,39.51,2657.087578,47.6844649
4,20,1,Second,4,Conventional,2,1.6,56,10-Jan,462,28,42.13,2833.285235,44.21530008
1,61,2,Rtwo,4,Conventional,1,0,0,0,161,46,73.43,4938.241985,-4.266950657
2,61,2,Rtwo,4,Conventional,1,0,0,0,283,45,68.13,4581.811609,3.258785942
3,61,2,Rtwo,4,Conventional,1,0,0,0,307,43,67.4,4532.718369,4.295349663
4,61,2,Rtwo,4,Conventional,1,0,0,0,437,44,72.74,4891.838785,-3.287184949
1,66,2,Rtwo,4,Conventional,6,0.01067,0.37345,1/1500,166,42,72.46,4873.008501,-2.889598864
2,66,2,Rtwo,4,Conventional,6,0.01067,0.37345,1/1500,281,41,78.61,5286.60224,-11.62229322
3,66,2,Rtwo,4,Conventional,6,0.01067,0.37345,1/1500,310,42,75.08,5049.206159,-6.609868655
4,66,2,Rtwo,4,Conventional,6,0.01067,0.37345,1/1500,439,42,78.82,5300.724953,-11.92048278
1,65,2,Rtwo,4,Conventional,5,0.016,0.56,1/1000,165,43,75.25,5060.638831,-6.851260206
2,65,2,Rtwo,4,Conventional,5,0.016,0.56,1/1000,284,39,68.46,4604.004444,2.790202343
3,65,2,Rtwo,4,Conventional,5,0.016,0.56,1/1000,308,40,71.32,4796.342345,-1.27085552
4,65,2,Rtwo,4,Conventional,5,0.016,0.56,1/1000,442,42,69.87,4698.828374,0.788072417
1,64,2,Rtwo,4,Conventional,4,0.032,1.12,1/500,164,36,73.49,4942.277046,-4.352147675
2,64,2,Rtwo,4,Conventional,4,0.032,1.12,1/500,279,38,71.74,4824.587771,-1.867234647
3,64,2,Rtwo,4,Conventional,4,0.032,1.12,1/500,312,36,70.48,4739.851493,-0.078097267
4,64,2,Rtwo,4,Conventional,4,0.032,1.12,1/500,438,41,78.5,5279.204628,-11.46609869
1,63,2,Rtwo,4,Conventional,3,0.16,5.6,1/100,163,26,57.2,3846.758022,18.77884274
2,63,2,Rtwo,4,Conventional,3,0.16,5.6,1/100,282,24,56.68,3811.787494,19.5172169
3,63,2,Rtwo,4,Conventional,3,0.16,5.6,1/100,309,23,56.13,3774.799437,20.29818956
4,63,2,Rtwo,4,Conventional,3,0.16,5.6,1/100,440,24,63.99,4303.39241,9.137380192
1,62,2,Rtwo,4,Conventional,2,1.6,56,10-Jan,162,18,15.6,1049.115824,77.84877529
2,62,2,Rtwo,4,Conventional,2,1.6,56,10-Jan,280,14,16.46,1106.951697,76.62761803
3,62,2,Rtwo,4,Conventional,2,1.6,56,10-Jan,311,16,13.81,928.7365084,80.39048633
4,62,2,Rtwo,4,Conventional,2,1.6,56,10-Jan,441,16,14.07,946.2217722,80.02129925
1,13,1,Second,3,Glufosinate,1,0,0,0,113,44,76.84,5167.567944,1.735988999
2,13,1,Second,3,Glufosinate,1,0,0,0,209,45,84.48,5681.365694,-8.034144318
3,13,1,Second,3,Glufosinate,1,0,0,0,384,45,76.52,5146.04762,2.145209242
4,13,1,Second,3,Glufosinate,1,0,0,0,443,43,74.95,5040.463527,4.152946062
1,18,1,Second,3,Glufosinate,6,0.01067,0.37345,1/1500,118,43,76.1,5117.802194,2.682310812
2,18,1,Second,3,Glufosinate,6,0.01067,0.37345,1/1500,208,40,74.9,5037.100976,4.216886726
3,18,1,Second,3,Glufosinate,6,0.01067,0.37345,1/1500,381,45,76.04,5113.767133,2.759039608
4,18,1,Second,3,Glufosinate,6,0.01067,0.37345,1/1500,447,42,68.83,4628.887319,11.97928322
1,17,1,Second,3,Glufosinate,5,0.016,0.56,1/1000,117,39,75.23,5059.293811,3.794878349
2,17,1,Second,3,Glufosinate,5,0.016,0.56,1/1000,210,40,75.51,5078.124095,3.436810636
3,17,1,Second,3,Glufosinate,5,0.016,0.56,1/1000,382,44,78.92,5307.450054,-0.923942585
4,17,1,Second,3,Glufosinate,5,0.016,0.56,1/1000,445,43,72.52,4877.043562,7.260462288
1,16,1,Second,3,Glufosinate,4,0.032,1.12,1/500,116,38,71.16,4785.582183,8.999648323
2,16,1,Second,3,Glufosinate,4,0.032,1.12,1/500,207,44,67.91,4567.016386,13.15579142
3,16,1,Second,3,Glufosinate,4,0.032,1.12,1/500,383,43,73.19,4922.101742,6.403657402
4,16,1,Second,3,Glufosinate,4,0.032,1.12,1/500,444,43,69.4,4667.220397,11.25035966
1,15,1,Second,3,Glufosinate,3,0.16,5.6,1/100,115,31,70.11,4714.968617,10.34240225
2,15,1,Second,3,Glufosinate,3,0.16,5.6,1/100,212,34,67.35,4529.355818,13.87192685
3,15,1,Second,3,Glufosinate,3,0.16,5.6,1/100,380,33,71.53,4810.465058,8.526487416
4,15,1,Second,3,Glufosinate,3,0.16,5.6,1/100,446,36,66.12,4446.63707,15.44486716
1,14,1,Second,3,Glufosinate,2,1.6,56,10-Jan,114,26,51.54,3466.117281,34.08996451
2,14,1,Second,3,Glufosinate,2,1.6,56,10-Jan,211,26,41.84,2813.782441,46.49445315
3,14,1,Second,3,Glufosinate,2,1.6,56,10-Jan,379,25,41.28,2776.121873,47.21058857
4,14,1,Second,3,Glufosinate,2,1.6,56,10-Jan,448,24,39.23,2638.257294,49.83215576
1,55,2,Rtwo,3,Glufosinate,1,0,0,0,155,42,73.99,4975.902553,0.500924523
2,55,2,Rtwo,3,Glufosinate,1,0,0,0,245,46,76.09,5117.129683,-2.323079511
3,55,2,Rtwo,3,Glufosinate,1,0,0,0,326,44,76.24,5127.217336,-2.524794085
4,55,2,Rtwo,3,Glufosinate,1,0,0,0,404,43,71.13,4783.564652,4.346949065
1,60,2,Rtwo,3,Glufosinate,6,0.01067,0.37345,1/1500,160,41,73.04,4912.01409,1.778450158
2,60,2,Rtwo,3,Glufosinate,6,0.01067,0.37345,1/1500,247,40,69.93,4702.863435,5.960665656
3,60,2,Rtwo,3,Glufosinate,6,0.01067,0.37345,1/1500,325,44,76.11,5118.474704,-2.349974788
4,60,2,Rtwo,3,Glufosinate,6,0.01067,0.37345,1/1500,406,43,72.39,4868.30093,2.652546645
1,59,2,Rtwo,3,Glufosinate,5,0.016,0.56,1/1000,159,40,74.2,4990.025266,0.21852412
2,59,2,Rtwo,3,Glufosinate,5,0.016,0.56,1/1000,248,40,71.58,4813.827609,3.741805344
3,59,2,Rtwo,3,Glufosinate,5,0.016,0.56,1/1000,330,41,68.5,4606.694484,7.883677927
4,59,2,Rtwo,3,Glufosinate,5,0.016,0.56,1/1000,401,40,77.59,5218.006205,-4.34022525
1,58,2,Rtwo,3,Glufosinate,4,0.032,1.12,1/500,158,34,74.48,5008.85555,-0.158009751
2,58,2,Rtwo,3,Glufosinate,4,0.032,1.12,1/500,244,38,65.5,4404.941441,11.91796941
3,58,2,Rtwo,3,Glufosinate,4,0.032,1.12,1/500,327,34,67.75,4556.256224,8.892250797
4,58,2,Rtwo,3,Glufosinate,4,0.032,1.12,1/500,402,38,72.81,4896.546356,2.087745838
1,57,2,Rtwo,3,Glufosinate,3,0.16,5.6,1/100,157,23,64.85,4361.228282,12.79206589
2,57,2,Rtwo,3,Glufosinate,3,0.16,5.6,1/100,246,25,62.27,4187.720665,16.26155656
3,57,2,Rtwo,3,Glufosinate,3,0.16,5.6,1/100,328,20,61.91,4163.5103,16.74567154
4,57,2,Rtwo,3,Glufosinate,3,0.16,5.6,1/100,405,18,57.25,3850.120573,23.01227097
1,56,2,Rtwo,3,Glufosinate,2,1.6,56,10-Jan,156,16,11.75,790.1994188,84.19902505
2,56,2,Rtwo,3,Glufosinate,2,1.6,56,10-Jan,243,14,1.91,128.4494374,97.43150109
3,56,2,Rtwo,3,Glufosinate,2,1.6,56,10-Jan,329,10,4.78,321.4598487,93.57202891
4,56,2,Rtwo,3,Glufosinate,2,1.6,56,10-Jan,403,12,5.68,381.9857616,92.36174147
1,7,1,Second,2,Glyphosate,1,0,0,0,107,43,70.28,4726.40129,9.060912884
2,7,1,Second,2,Glyphosate,1,0,0,0,237,44,80.39,5406.309045,-4.020962056
3,7,1,Second,2,Glyphosate,1,0,0,0,356,43,77.33,5200.520941,-0.061462816
4,7,1,Second,2,Glyphosate,1,0,0,0,449,46,81.13,5456.074796,-4.978488016
1,12,1,Second,2,Glyphosate,6,0.01067,0.37345,1/1500,112,38,75.61,5084.849197,2.164138064
2,12,1,Second,2,Glyphosate,6,0.01067,0.37345,1/1500,242,43,82.16,5525.343341,-6.311260636
3,12,1,Second,2,Glyphosate,6,0.01067,0.37345,1/1500,360,41,72.87,4900.581417,5.709572024
4,12,1,Second,2,Glyphosate,6,0.01067,0.37345,1/1500,451,45,71.54,4811.137568,7.430530844
1,11,1,Second,2,Glyphosate,5,0.016,0.56,1/1000,111,38,70.54,4743.886554,8.724484844
2,11,1,Second,2,Glyphosate,5,0.016,0.56,1/1000,241,44,80.02,5381.42617,-3.542199076
3,11,1,Second,2,Glyphosate,5,0.016,0.56,1/1000,359,41,77.07,5183.035677,0.274965224
4,11,1,Second,2,Glyphosate,5,0.016,0.56,1/1000,454,42,72.49,4875.026032,6.201274544
1,10,1,Second,2,Glyphosate,4,0.032,1.12,1/500,110,38,71.12,4782.892142,7.973991524
2,10,1,Second,2,Glyphosate,4,0.032,1.12,1/500,240,44,73.45,4939.587005,4.959078704
3,10,1,Second,2,Glyphosate,4,0.032,1.12,1/500,355,39,73.32,4930.844374,5.127292724
4,10,1,Second,2,Glyphosate,4,0.032,1.12,1/500,452,40,69.93,4702.863435,9.513796784
1,9,1,Second,2,Glyphosate,3,0.16,5.6,1/100,109,31,66.51,4472.864966,13.93911946
2,9,1,Second,2,Glyphosate,3,0.16,5.6,1/100,239,36,71.01,4775.49453,8.116326464
3,9,1,Second,2,Glyphosate,3,0.16,5.6,1/100,358,30,73.35,4932.861904,5.088474104
4,9,1,Second,2,Glyphosate,3,0.16,5.6,1/100,453,34,70.17,4719.003678,9.203247824
1,8,1,Second,2,Glyphosate,2,1.6,56,10-Jan,108,23,42.61,2865.565722,44.86462006
2,8,1,Second,2,Glyphosate,2,1.6,56,10-Jan,238,24,47.19,3173.575368,38.93831074
3,8,1,Second,2,Glyphosate,2,1.6,56,10-Jan,357,24,46.52,3128.517188,39.80525992
4,8,1,Second,2,Glyphosate,2,1.6,56,10-Jan,450,28,47.48,3193.078162,38.56306408
1,49,2,Rtwo,2,Glyphosate,1,0,0,0,149,44,82.41,5542.156094,0
2,49,2,Rtwo,2,Glyphosate,1,0,0,0,260,43,80.12,5388.151271,0
3,49,2,Rtwo,2,Glyphosate,1,0,0,0,321,45,70.63,4749.939145,0
4,49,2,Rtwo,2,Glyphosate,1,0,0,0,419,44,82.6,5554.933787,0
1,54,2,Rtwo,2,Glyphosate,6,0.01067,0.37345,1/1500,154,40,75.55,5080.814136,4.294400804
2,54,2,Rtwo,2,Glyphosate,6,0.01067,0.37345,1/1500,255,42,74.2,4990.025266,6.004560419
3,54,2,Rtwo,2,Glyphosate,6,0.01067,0.37345,1/1500,319,40,73.85,4966.487411,6.447935134
4,54,2,Rtwo,2,Glyphosate,6,0.01067,0.37345,1/1500,422,40,78.19,5258.356814,0.950088668
1,53,2,Rtwo,2,Glyphosate,5,0.016,0.56,1/1000,153,38,75.37,5068.708953,4.522422086
2,53,2,Rtwo,2,Glyphosate,5,0.016,0.56,1/1000,259,40,76.67,5156.135272,2.875601716
3,53,2,Rtwo,2,Glyphosate,5,0.016,0.56,1/1000,324,40,73.12,4917.394171,7.372688111
4,53,2,Rtwo,2,Glyphosate,5,0.016,0.56,1/1000,421,40,79.48,5345.110622,-0.684063853
1,52,2,Rtwo,2,Glyphosate,4,0.032,1.12,1/500,152,38,76.71,5158.825312,2.82493032
2,52,2,Rtwo,2,Glyphosate,4,0.032,1.12,1/500,256,38,75.56,5081.486646,4.281732955
3,52,2,Rtwo,2,Glyphosate,4,0.032,1.12,1/500,320,34,72.4,4868.97344,8.284773239
4,52,2,Rtwo,2,Glyphosate,4,0.032,1.12,1/500,420,40,78.37,5270.461996,0.722067386
1,51,2,Rtwo,2,Glyphosate,3,0.16,5.6,1/100,151,26,68.42,4601.314403,13.32657714
2,51,2,Rtwo,2,Glyphosate,3,0.16,5.6,1/100,258,26,67.95,4569.706426,13.92196604
3,51,2,Rtwo,2,Glyphosate,3,0.16,5.6,1/100,322,24,59.23,3983.277581,24.96833037
4,51,2,Rtwo,2,Glyphosate,3,0.16,5.6,1/100,424,32,69.13,4649.062623,12.42715986
1,50,2,Rtwo,2,Glyphosate,2,1.6,56,10-Jan,150,20,23.02,1548.118351,70.8386116
2,50,2,Rtwo,2,Glyphosate,2,1.6,56,10-Jan,257,16,16.2,1089.466433,79.47808462
3,50,2,Rtwo,2,Glyphosate,2,1.6,56,10-Jan,323,15,16.39,1102.244126,79.23739549
4,50,2,Rtwo,2,Glyphosate,2,1.6,56,10-Jan,423,16,18.59,1250.196357,76.45046871
1,25,1,Second,5,Organic,1,0,0,0,125,40,70.4,4734.471412,4.916261481
2,25,1,Second,5,Organic,1,0,0,0,201,43,79.21,5326.952848,-6.982712047
3,25,1,Second,5,Organic,1,0,0,0,363,38,68.69,4619.472177,7.22582388
4,25,1,Second,5,Organic,1,0,0,0,455,44,77.86,5236.163979,-5.159373311
1,30,1,Second,5,Organic,6,0.01067,0.37345,1/1500,130,40,70.63,4749.939145,4.605618585
2,30,1,Second,5,Organic,6,0.01067,0.37345,1/1500,205,37,73.89,4969.177452,0.202593194
3,30,1,Second,5,Organic,6,0.01067,0.37345,1/1500,366,36,70.01,4708.243516,5.443003783
4,30,1,Second,5,Organic,6,0.01067,0.37345,1/1500,458,41,73.1,4916.04915,1.26958401
1,29,1,Second,5,Organic,5,0.016,0.56,1/1000,129,36,70.63,4749.939145,4.605618585
2,29,1,Second,5,Organic,5,0.016,0.56,1/1000,206,39,72.18,4854.178217,2.512155592
3,29,1,Second,5,Organic,5,0.016,0.56,1/1000,364,40,73.31,4930.171863,0.98595354
4,29,1,Second,5,Organic,5,0.016,0.56,1/1000,459,39,70.53,4743.214044,4.740680714
1,28,1,Second,5,Organic,4,0.032,1.12,1/500,128,36,68.56,4610.729545,7.401404647
2,28,1,Second,5,Organic,4,0.032,1.12,1/500,203,38,60.79,4088.189164,17.89573204
3,28,1,Second,5,Organic,4,0.032,1.12,1/500,361,36,65.77,4423.099215,11.16963803
4,28,1,Second,5,Organic,4,0.032,1.12,1/500,457,42,68.79,4626.197279,7.090761751
1,27,1,Second,5,Organic,3,0.16,5.6,1/100,127,30,64.33,4326.257754,13.11453269
2,27,1,Second,5,Organic,3,0.16,5.6,1/100,204,34,67.55,4542.806021,8.765532146
3,27,1,Second,5,Organic,3,0.16,5.6,1/100,362,32,55.94,3762.021744,24.44624527
4,27,1,Second,5,Organic,3,0.16,5.6,1/100,460,32,59.6,4008.160456,19.50297137
1,26,1,Second,5,Organic,2,1.6,56,10-Jan,126,24,39.79,2675.917862,46.25877904
2,26,1,Second,5,Organic,2,1.6,56,10-Jan,202,26,39.43,2651.707497,46.7450027
3,26,1,Second,5,Organic,2,1.6,56,10-Jan,365,28,33.86,2277.119347,54.26796326
4,26,1,Second,5,Organic,2,1.6,56,10-Jan,456,28,34,2286.534489,54.07887628
1,67,2,Rtwo,5,Organic,1,0,0,0,167,38,65.33,4393.508769,8.379496536
2,67,2,Rtwo,5,Organic,1,0,0,0,276,46,70.71,4755.319226,0.834443595
3,67,2,Rtwo,5,Organic,1,0,0,0,315,39,75.47,5075.434055,-5.841105104
4,67,2,Rtwo,5,Organic,1,0,0,0,435,40,73.71,4957.072269,-3.372834997
1,72,2,Rtwo,5,Organic,6,0.01067,0.37345,1/1500,172,38,73.11,4916.721661,-2.531379279
2,72,2,Rtwo,5,Organic,6,0.01067,0.37345,1/1500,277,42,73.44,4938.914495,-2.994179924
3,72,2,Rtwo,5,Organic,6,0.01067,0.37345,1/1500,318,40,72.63,4884.441174,-1.858214704
4,72,2,Rtwo,5,Organic,6,0.01067,0.37345,1/1500,434,40,73.41,4936.896965,-2.952107138
1,71,2,Rtwo,5,Organic,5,0.016,0.56,1/1000,171,38,71.06,4778.857081,0.343594426
2,71,2,Rtwo,5,Organic,5,0.016,0.56,1/1000,274,40,76.95,5174.965556,-7.916695876
3,71,2,Rtwo,5,Organic,5,0.016,0.56,1/1000,317,37,72.72,4890.493765,-1.984433062
4,71,2,Rtwo,5,Organic,5,0.016,0.56,1/1000,432,38,76.88,5170.257985,-7.818526042
1,70,2,Rtwo,5,Organic,4,0.032,1.12,1/500,170,36,69.13,4649.062623,3.050276986
2,70,2,Rtwo,5,Organic,4,0.032,1.12,1/500,273,36,70.74,4757.336757,0.792370809
3,70,2,Rtwo,5,Organic,4,0.032,1.12,1/500,314,33,69.28,4659.150276,2.839913057
4,70,2,Rtwo,5,Organic,4,0.032,1.12,1/500,433,36,73.37,4934.206924,-2.89601009
1,69,2,Rtwo,5,Organic,3,0.16,5.6,1/100,169,26,67.41,4533.390879,5.462450045
2,69,2,Rtwo,5,Organic,3,0.16,5.6,1/100,278,24,64.45,4334.327876,9.613631589
3,69,2,Rtwo,5,Organic,3,0.16,5.6,1/100,316,25,58.05,3903.921384,18.58915925
4,69,2,Rtwo,5,Organic,3,0.16,5.6,1/100,431,24,58.35,3924.096688,18.16843139
1,68,2,Rtwo,5,Organic,2,1.6,56,10-Jan,168,14,14.1,948.2393026,80.22579062
2,68,2,Rtwo,5,Organic,2,1.6,56,10-Jan,275,10,6.26,420.99135,91.22081201
3,68,2,Rtwo,5,Organic,2,1.6,56,10-Jan,313,14,7.94,533.9730541,88.86473599
4,68,2,Rtwo,5,Organic,2,1.6,56,10-Jan,436,12,12.2,820.4623753,82.89040039
